dma,geoCode,2004+cancer,2004+cardiovascular,2004+stroke,2004+depression,2004+rehab,2004+vaccine,2004+diarrhea,2004+obesity,2004+diabetes,2006+cancer,2006+cardiovascular,2006+stroke,2006+depression,2006+rehab,2006+vaccine,2006+diarrhea,2006+obesity,2006+diabetes
Grand Junction-Montrose CO,773,39,11,8,57,14,26,45,57,28,48,22,14,27,29,31,67,35,34
Tucson (Sierra Vista) AZ,789,41,5,18,34,15,32,18,24,38,48,13,22,21,20,39,41,24,40
Albuquerque-Santa Fe NM,790,43,6,13,44,13,30,13,32,45,49,16,24,22,29,48,43,22,51
Glendive MT,798,43,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Bakersfield CA,800,38,5,14,58,10,28,20,35,41,38,13,18,18,22,23,50,26,37
Eugene OR,801,41,9,19,44,15,42,11,39,40,45,16,23,24,29,49,30,28,39
Eureka CA,802,33,0,13,49,25,49,17,0,23,43,0,23,39,34,26,24,29,46
Los Angeles CA,803,37,5,15,33,16,25,11,24,30,39,14,18,17,25,28,37,22,30
Palm Springs CA,804,43,13,14,40,49,55,23,23,13,45,7,23,17,29,38,37,10,25
San Francisco-Oakland-San Jose CA,807,41,5,15,32,13,28,13,20,31,43,15,21,18,21,37,40,19,33
Yakima-Pasco-Richland-Kennewick WA,810,44,2,14,37,6,27,9,30,32,44,23,19,27,19,36,32,25,42
Reno NV,811,38,5,17,32,15,29,8,21,34,45,8,24,18,23,34,51,19,30
Medford-Klamath Falls OR,813,38,12,19,27,13,35,14,41,28,44,13,25,23,20,33,29,24,37
Seattle-Tacoma WA,819,42,4,15,39,15,32,13,26,33,45,14,21,19,25,35,40,20,33
Portland OR,820,38,4,18,40,15,25,14,29,36,41,14,24,21,26,30,38,24,38
Bend OR,821,53,12,18,48,14,55,12,46,45,49,18,24,18,23,52,45,20,35
San Diego CA,825,42,5,15,31,14,29,11,22,29,45,16,19,17,24,32,41,22,33
Monterey-Salinas CA,828,38,4,12,44,11,29,12,26,32,41,20,22,22,22,39,27,32,38
Las Vegas NV,839,33,4,16,32,16,22,16,17,30,41,15,20,18,28,23,37,17,32
Santa Barbara-Santa Maria-San Luis Obispo CA,855,35,5,13,40,14,30,9,38,27,39,13,24,20,29,31,40,25,28
Sacramento-Stockton-Modesto CA,862,40,4,17,41,12,35,13,29,35,45,16,24,20,22,40,37,26,39
Fresno-Visalia CA,866,34,7,13,48,16,19,5,33,34,42,15,20,21,26,25,30,40,35
Chico-Redding CA,868,36,4,22,33,16,49,14,41,24,44,10,28,24,30,33,28,29,32
Spokane WA,881,44,6,17,49,16,34,10,30,46,43,18,23,21,25,31,41,28,33
